,Art Title,Movement,Name
0,landscape-on-the-orne,Impressionism,edgar-degas
1,mantes-cathedral,Realism,camille-corot
2,untitled-1979(3),Abstract Expressionism,gene-davis
3,in-the-1920,Symbolism,kuzma-petrov-vodkin
4,paris-boulevard-in-the-rain-1893,Impressionism,maurice-prendergast
5,chorinho-1942,Cubism,candido-portinari
6,the-tree-of-life-stoclet-frieze,Art Nouveau Modern,gustav-klimt
7,ovid-in-exile-1915,Symbolism,ion-theodorescu-sion
8,pope-s-villa-at-twickenham,Romanticism,william-turner
9,tarzan-series-i-1969(1),Color Field Painting,gene-davis
10,joan-d-arc,Pop Art,hiro-yamagata
11,morning-on-the-seine-near-giverny-1,Impressionism,claude-monet
12,dancers-backstage-detail-1883-1,Impressionism,edgar-degas
13,the-tea-set,Impressionism,claude-monet
14,distorted-circle-within-a-polygon-i-1972,Minimalism,robert-mangold
15,portrait-of-a-young-girl,Impressionism,pierre-auguste-renoir
16,plaster-statuette-of-a-female-torso-1886-1,Post Impressionism,vincent-van-gogh
17,untitled-1965,Color Field Painting,luis-feito
18,architectural-project-of-private-house-facade-1860,Romanticism,taras-shevchenko
19,young-lady-with-his-arms-folded-study-to-boyarynya-morozova,Realism,vasily-surikov
20,guru-kambala-1940,Symbolism,nicholas-roerich
21,the-head-of-an-old-man-inscribed-diogenes,Rococo,giovanni-domenico-tiepolo
22,paysage-classique-matin,Romanticism,theodore-gericault
23,koktebel-house-of-maximilian-voloshin-1905,Symbolism,konstantin-bogaevsky
24,alexander-i,Rococo,vladimir-borovikovsky
25,caravan-1926,Symbolism,martiros-saryan
26,the-star-dancer-on-pointe,Impressionism,edgar-degas
27,virgin-and-child-with-saints,Rococo,giovanni-domenico-tiepolo
28,ivan-lipoveanul-1969,Impressionism,octav-angheluta
29,doed-fugl(2),Realism,theodor-severin-kittelsen
30,woman-at-her-toilette-them-washing-herself-1896,Post Impressionism,henri-de-toulouse-lautrec
31,the-ball,Rococo,william-hogarth
32,still-life-with-rose,Fauvism,joan-miro
33,angle-1963,Abstract Expressionism,william-scott
34,plate-of-fruit-1880,Realism,henri-fantin-latour
35,woman-with-pillar-of-flowers-1903,Symbolism,odilon-redon
36,tulcea-square,Impressionism,nicolae-darascu
37,writing-desk,Cubism,olga-rozanova
38,casting-the-net-1914,Post Impressionism,suzanne-valadon
39,sapiente-con-compasso-e-globo,High Renaissance,dosso-dossi
40,the-seine-at-pontoise,Post Impressionism,gustave-loiseau
41,the-judgment-of-paris-1721,Rococo,antoine-watteau
42,le-martyre-de-saint-sebastien-ida-rubinstein-as-st-sebastian-1911,Art Nouveau Modern,leon-bakst
43,not-detected-272492,Expressionism,lynd-ward
44,the-model-1907,Symbolism,kuzma-petrov-vodkin
45,expulsion-of-heliodorus-from-the-temple,Baroque,francesco-solimena
46,woman-in-profile-portrait-of-madame-tennent,Expressionism,chaim-soutine
47,shepherdesses,Impressionism,camille-pissarro
48,truck-announcement,Pop Art,andy-warhol
49,rise-and-fall-1799,Romanticism,francisco-goya
50,corner-of-the-plateau-of-bellevue-1902,Naive Art Primitivism,henri-rousseau
51,golden-evening-southwest-texas,Impressionism,robert-julian-onderdonk
52,gossip-1873,Realism,giovanni-boldini
53,deer-at-dusk-1909,Post Impressionism,franz-marc
54,october-day-1953,Realism,martiros-saryan
55,sun-disk-above-a-path-between-shrubs-1890,Post Impressionism,vincent-van-gogh
56,panoramic-landscape,Impressionism,robert-julian-onderdonk
57,seated-man-1914,Cubism,roger-de-la-fresnaye
58,study-for-ships-and-sailboats-on-the-delaware-1874,Realism,thomas-eakins
59,self-portrait-in-breton-costume-1889,Post Impressionism,meijer-de-haan
60,cartwheel-2000,Contemporary Realism,janet-fish
61,portrait-of-ekaterina-semenova-1815,Romanticism,orest-kiprensky
62,not,Expressionism,kathe-kollwitz
63,bridge-near-the-schenkweg(1),Post Impressionism,vincent-van-gogh
64,illustration-for-the-russian-fairy-story-feather-of-finist-falcon(1),Art Nouveau Modern,ivan-bilibin
65,youth-admired-by-women,Symbolism,ferdinand-hodler
66,oratorio-1997,Abstract Expressionism,joan-snyder
67,in-crimea-1913,Impressionism,vasily-surikov
68,peasant-with-sickle-seen-from-the-back-1885-5,Realism,vincent-van-gogh
69,the-teacher-1645,Baroque,gerrit-dou
70,portrait-of-leon-bakst-1917,Expressionism,amedeo-modigliani
71,view-of-rouen,Impressionism,claude-monet
72,exalta-o-da-santa-cruz-1530,Mannerism Late Renaissance,cristovao-de-figueiredo
73,study-of-hands-1913,Expressionism,egon-schiele
74,lucifer,Symbolism,franz-stuck
75,winter-landscape-neskuchnoye-1910,Impressionism,zinaida-serebriakova
76,still-life-delphinium-1937,Realism,pyotr-konchalovsky
77,a-late-riser-s-miserable-breakfast-1900(1),Art Nouveau Modern,carl-larsson
78,landscape-with-windmill-near-schiedam-1873,Realism,johan-hendrik-weissenbruch
79,alfred-lord-tennyson(1),Symbolism,george-frederick-watts
80,palimpsest-1944,Abstract Expressionism,richard-pousette-dart
81,bust-of-camilla-barberini-nee-barbadori(1),Baroque,gian-lorenzo-bernini
82,galeas-for-montes,Mannerism Late Renaissance,tintoretto
83,the-honourable-charles-wolfran-cornwal-1786,Rococo,thomas-gainsborough
84,study-two-women-s-heads-1895,Impressionism,pierre-auguste-renoir
85,flowers-on-a-fireplace-in-clayes-1935,Post Impressionism,edouard-vuillard
86,an-old-man-resting-his-hands-upon-a-book-1645,Baroque,rembrandt
87,girl-holding-her-foot-1985,Expressionism,lucian-freud
88,m-4-66-1966,Abstract Expressionism,conrad-marca-relli
89,ingres-roger-deliverant-angelique,Realism,james-mcneill-whistler
90,portrait-of-the-artist-s-daughter-dorothy,Impressionism,william-merritt-chase
91,the-instruments-of-music-calendar-1767,Rococo,jean-baptiste-simeon-chardin
92,gurko-v-d-female-portrait-1814,Romanticism,orest-kiprensky
93,unknown-title,Color Field Painting,gil-teixeira-lopes
94,nagyb-nya-1929,Post Impressionism,istvan-ilosvai-varga
95,intercession-of-the-theotokos-1903,Art Nouveau Modern,nicholas-roerich
96,self-portrait-1981,Expressionism,vela-zanetti
97,idols-1901-1,Art Nouveau Modern,nicholas-roerich
98,gloucester-mansion,New Realism,edward-hopper
99,the-fountain,Impressionism,paul-cezanne
100,dog-car-1880,Impressionism,henri-de-toulouse-lautrec
101,mulier-amicta-sole-1967,Abstract Expressionism,salvador-dali
102,woman-with-rose,Expressionism,nikolaos-lytras
103,portrait-of-vladimir-girshman-1911,Realism,valentin-serov
104,leticia,Contemporary Realism,richard-whitney
105,tailor-iii-1936,Cubism,nikos-hadjikyriakos-ghikas
106,homage-to-dubuffet-i-1952,Abstract Expressionism,gene-davis
107,apollo-and-marsyas-from-the-stanza-della-segnatura-1511,High Renaissance,raphael
108,lamentation-christ-on-the-straw-1618,Baroque,peter-paul-rubens
109,angel-announcing-the-resurrection-of-christ-to-the-three-marys-1609,Baroque,annibale-carracci
110,illustration-to-milton-s-paradise-lost-1808-4,Symbolism,william-blake
111,madonna-and-child-with-sts-dorothy-and-george-1520,High Renaissance,titian
112,clearing-1867,Romanticism,paul-cezanne
113,in-the-garden-1902,Impressionism,camille-pissarro
114,maternidade-1938,Naive Art Primitivism,tarsila-do-amaral
115,portrait-of-jean-kennedy-smith-1972,Contemporary Realism,jamie-wyeth
116,portrait-of-a-man-munich-1513,High Renaissance,titian
117,flight-of-faust-and-mephisto-1886,Symbolism,mikhail-vrubel
118,flat-country-shank-at-bay-of-greifswald-1834,Romanticism,caspar-david-friedrich
119,the-conversion-of-st-paul-1866,Romanticism,gustave-dore
120,dancer-adjusting-her-sandel-1,Impressionism,edgar-degas
121,landscape-near-pisa,High Renaissance,leonardo-da-vinci
122,the-holy-family-with-a-lamb-1507,High Renaissance,raphael
123,the-painter-and-his-model-1917,Expressionism,henri-matisse
124,window-in-artist-s-studio-1976,Naive Art Primitivism,marc-chagall
125,flowers,Symbolism,mikhail-vrubel
126,portrait-of-a-man,Impressionism,panayiotis-tetsis
127,cleopatra,Art Nouveau Modern,wilhelm-kotarbinski
128,the-beach-at-trouville-1863,Realism,eugene-boudin
129,marriage-of-charles-iv-and-marie-of-luxembourg,Northern Renaissance,jean-fouquet
130,untitled-from-the-portfolio-with-the-grain-of-the-wood-au-fil-du-bois-5-1973,Expressionism,pierre-alechinsky
131,the-miracles-of-san-bernardino-the-healing-of-a-young,Early Renaissance,pietro-perugino
132,the-ice-hole-1908,Pointillism,marsden-hartley
133,hope-1872,Symbolism,pierre-puvis-de-chavannes
