,Movement,Artwork,Year,Artist_Name
0,Realism,pine-trees-in-the-fen,1884,Vincent_van_Gogh
1,Realism,vase-with-asters-and-phlox,1886,Vincent_van_Gogh
2,Realism,peasant-woman-with-shawl-over-her-head-seen-from-the-side,1885,Vincent_van_Gogh
4,Realism,portrait-of-a-woman,1885,Vincent_van_Gogh
5,Realism,peasant-woman-with-shawl-over-her-head-seen-from-the-side-2,1885,Vincent_van_Gogh
8,Post_Impressionism,the-house-of-pere-pilon,1890,Vincent_van_Gogh
9,Post_Impressionism,the-fields,1890,Vincent_van_Gogh
10,Realism,vase-with-carnations-and-other-flowers,1886,Vincent_van_Gogh
11,Post_Impressionism,sower-with-setting-sun,1888,Vincent_van_Gogh
12,Realism,woman-feeding-chickens,1883,Vincent_van_Gogh
14,Realism,the-heath-with-a-wheelbarrow,1883,Vincent_van_Gogh
15,Post_Impressionism,large-plane-trees,1889,Vincent_van_Gogh
16,Realism,peasant-with-sickle-seen-from-the-back,1885,Vincent_van_Gogh
17,Post_Impressionism,landscape-with-the-oise,1890,Vincent_van_Gogh
19,Post_Impressionism,man-on-a-bench,1886,Vincent_van_Gogh
20,Realism,road-with-pollard-willows-and-man-with-broom,1881,Vincent_van_Gogh
21,Post_Impressionism,portrait-of-the-artist-s-mother,1888,Vincent_van_Gogh
23,Post_Impressionism,public-garden-with-couple-and-blue-fir-tree-the-poet-s-garden-iii,1888,Vincent_van_Gogh
24,Realism,sower-with-hand-in-sack,1881,Vincent_van_Gogh
25,Realism,man-and-woman-sharing-a-meal,1885,Vincent_van_Gogh
26,Realism,poplar-trees,1884,Vincent_van_Gogh
29,Realism,peasant-woman-kneeling-possibly-digging-up-carrots,1885,Vincent_van_Gogh
30,Post_Impressionism,wheat-field-with-a-stack-of-wheat-or-hay,1890,Vincent_van_Gogh
32,Realism,peasant-woman-stooping,1885,Vincent_van_Gogh
34,Post_Impressionism,sheet-with-a-few-sketches-of-figures,1890,Vincent_van_Gogh
35,Realism,worn-out,1882,Vincent_van_Gogh
37,Realism,sketch-of-a-knee,1886,Vincent_van_Gogh
41,Realism,man-loading-a-cart,1885,Vincent_van_Gogh
46,Realism,standing-woman-half-length,1882,Vincent_van_Gogh
47,Realism,weaver-arranging-threads,1884,Vincent_van_Gogh
50,Post_Impressionism,three-white-cottages-in-saintes-maries,1888,Vincent_van_Gogh
53,Realism,stooks-and-a-mill,1885,Vincent_van_Gogh
54,Post_Impressionism,poppies-and-butterflies,1890,Vincent_van_Gogh
55,Post_Impressionism,snow-covered-cottages-a-couple-with-a-child-and-other-walkers,1890,Vincent_van_Gogh
57,Post_Impressionism,view-of-arles-with-trees-in-blossom,1888,Vincent_van_Gogh
58,Post_Impressionism,sunflowers,1888,Vincent_van_Gogh
60,Post_Impressionism,the-roofs-of-paris,1886,Vincent_van_Gogh
62,Post_Impressionism,still-life-with-basket-of-apples,1887,Vincent_van_Gogh
64,Post_Impressionism,landscape-with-the-chateau-of-auvers-at-sunset,1890,Vincent_van_Gogh
65,Realism,still-life-with-five-bottles,1884,Vincent_van_Gogh
67,Post_Impressionism,plaster-statuette-of-a-horse,1886,Vincent_van_Gogh
68,Realism,woman-with-a-fork-in-a-winter-landscape,1883,Vincent_van_Gogh
69,Realism,the-bakery-in-de-geest,1882,Vincent_van_Gogh
70,Realism,orphan-man-holding-top-hat-in-his-hand,1882,Vincent_van_Gogh
72,Post_Impressionism,village-street-and-steps-in-auvers-with-two-figures,1890,Vincent_van_Gogh
73,Realism,orphan-man-with-cap-seen-from-the-back,1882,Vincent_van_Gogh
74,Post_Impressionism,self-portrait-with-pallette,1889,Vincent_van_Gogh
75,Post_Impressionism,trees-and-shrubs,1889,Vincent_van_Gogh
76,Realism,peasant-woman-planting-beets-2,1885,Vincent_van_Gogh
77,Post_Impressionism,study-for-reclining-female-nude,1887,Vincent_van_Gogh
80,Post_Impressionism,wheatfields,1890,Vincent_van_Gogh
81,Realism,people-walking-in-eindhoven,1885,Vincent_van_Gogh
82,Realism,landscape-with-cottages-and-a-mill,1885,Vincent_van_Gogh
83,Realism,snowy-landscape-with-the-old-tower,1883,Vincent_van_Gogh
84,Realism,man-praying,1883,Vincent_van_Gogh
85,Post_Impressionism,park-at-asnieres-in-spring,1887,Vincent_van_Gogh
87,Realism,woman-sitting-on-a-basket-sewing,1883,Vincent_van_Gogh
88,Post_Impressionism,two-cypresses,1889,Vincent_van_Gogh
89,Post_Impressionism,vase-with-zinnias,1886,Vincent_van_Gogh
90,Realism,peasant-woman-carrying-a-sheaf-of-grain,1885,Vincent_van_Gogh
91,Realism,lower-part-of-the-windmill-de-laakmolen,1882,Vincent_van_Gogh
93,Realism,woman-with-a-broom,1882,Vincent_van_Gogh
94,Post_Impressionism,peach-trees-in-blossom,1888,Vincent_van_Gogh
95,Realism,woman-mending-stockings,1881,Vincent_van_Gogh
98,Realism,studies-of-the-interior-of-a-cottage-and-a-sketch-of-the-potato-eaters,1885,Vincent_van_Gogh
99,Post_Impressionism,sheet-with-figures-and-hands,1890,Vincent_van_Gogh
100,Realism,orphan-man-with-umbrella-seen-from-the-back,1882,Vincent_van_Gogh
102,Post_Impressionism,two-diggers-among-trees,1889,Vincent_van_Gogh
104,Realism,man-standing-reading-a-book,1882,Vincent_van_Gogh
105,Realism,portrait-of-woman-in-blue,1885,Vincent_van_Gogh
106,Realism,woman-shelling-peas,1885,Vincent_van_Gogh
107,Post_Impressionism,head-of-an-angel-after-rembrandt,1889,Vincent_van_Gogh
110,Realism,portrait-possibly-of-willemien-van-gogh,1881,Vincent_van_Gogh
112,Realism,soup-distribution-in-a-public-soup-kitchen,1883,Vincent_van_Gogh
113,Realism,pollard-willow,1881,Vincent_van_Gogh
114,Realism,peasant-burning-weeds,1883,Vincent_van_Gogh
116,Post_Impressionism,the-thresher-after-millet,1889,Vincent_van_Gogh
117,Post_Impressionism,newly-mowed-lawn-with-weeping-tree,1888,Vincent_van_Gogh
118,Post_Impressionism,landscape-with-snow,1888,Vincent_van_Gogh
119,Post_Impressionism,sun-disk-above-a-path-between-shrubs,1890,Vincent_van_Gogh
120,Realism,vase-with-carnations-and-bottle,1886,Vincent_van_Gogh
124,Post_Impressionism,orchard-in-blossom-with-two-figures-spring,1888,Vincent_van_Gogh
125,Post_Impressionism,plaster-statuette-of-a-kneeling-man,1886,Vincent_van_Gogh
128,Post_Impressionism,trunk-of-an-old-yew-tree,1888,Vincent_van_Gogh
