,Art,Movement,artist,Year,nationality,StyleClassLabel,genre
0,pine-trees-in-the-fen-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,landscape
1,vase-with-asters-and-phlox-1886,Realism,Vincent_van_Gogh,1886,Dutch,Realism,
2,peasant-woman-with-shawl-over-her-head-seen-from-the-side-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
3,seated-male-nude-seen-from-the-back,Realism,Vincent_van_Gogh,,Dutch,Realism,nude_painting
4,portrait-of-a-woman-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,portrait
5,peasant-woman-with-shawl-over-her-head-seen-from-the-side-2-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
6,garbage-dump-1883(1),Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
7,sower-1882-3,Realism,Vincent_van_Gogh,,Dutch,Realism,genre_painting
8,the-house-of-pere-pilon-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,landscape
9,the-fields-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,landscape
10,vase-with-carnations-and-other-flowers-1886,Realism,Vincent_van_Gogh,1886,Dutch,Realism,
11,sower-with-setting-sun-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,sketch_and_study
12,woman-feeding-chickens-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,genre_painting
13,clock-clog-with-cutlery-and-a-spoon-rack-1885(1),Realism,Vincent_van_Gogh,,Dutch,Realism,still_life
14,the-heath-with-a-wheelbarrow-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,landscape
15,large-plane-trees-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,landscape
16,peasant-with-sickle-seen-from-the-back-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
17,landscape-with-the-oise-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
18,plaster-statuette-of-a-female-torso-1886-2,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,still_life
19,man-on-a-bench-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,sketch_and_study
20,road-with-pollard-willows-and-man-with-broom-1881,Realism,Vincent_van_Gogh,1881,Dutch,Realism,sketch_and_study
21,portrait-of-the-artist-s-mother-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,portrait
22,tabernacle-in-the-heath,Realism,Vincent_van_Gogh,,Dutch,Realism,landscape
23,public-garden-with-couple-and-blue-fir-tree-the-poet-s-garden-iii-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
24,sower-with-hand-in-sack-1881,Realism,Vincent_van_Gogh,1881,Dutch,Realism,sketch_and_study
25,man-and-woman-sharing-a-meal-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
26,poplar-trees-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,landscape
27,wheat-fields-1890-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
28,self-portrait-1887-7,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,
29,peasant-woman-kneeling-possibly-digging-up-carrots-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
30,wheat-field-with-a-stack-of-wheat-or-hay-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
31,the-potato-eaters-1885-1,Realism,Vincent_van_Gogh,,Dutch,Realism,genre_painting
32,peasant-woman-stooping-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
33,wheat-field-with-sheaves-1888-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
34,sheet-with-a-few-sketches-of-figures-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
35,worn-out-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,genre_painting
36,fisherman-in-jacket-with-upturned-collar-1883(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
37,sketch-of-a-knee-1886,Realism,Vincent_van_Gogh,1886,Dutch,Realism,sketch_and_study
38,head-of-a-woman-15,Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
39,diggers-in-torn-up-street-1882(1),Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
40,head-of-a-man-bareheaded-1885(1),Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
41,man-loading-a-cart-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
42,head-of-a-woman-12,Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
43,girl-kneeling-1881(1),Realism,Vincent_van_Gogh,,Dutch,Realism,genre_painting
44,girl-with-pinafore-half-figure-1883(1),Realism,Vincent_van_Gogh,,Dutch,Realism,portrait
45,self-portrait-1888-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,
46,standing-woman-half-length-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,sketch_and_study
47,weaver-arranging-threads-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,sketch_and_study
48,gypsies-at-saintes-maries-1888(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
49,churchyard-in-winter-1883(1),Realism,Vincent_van_Gogh,,Dutch,Realism,cityscape
50,three-white-cottages-in-saintes-maries-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
51,two-heads-of-men,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
52,the-starry-night-1888-1,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
53,stooks-and-a-mill-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
54,poppies-and-butterflies-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,landscape
55,snow-covered-cottages-a-couple-with-a-child-and-other-walkers-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,sketch_and_study
56,a-woman-picking-up-a-stick-in-front-of-trees-1890(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,sketch_and_study
57,view-of-arles-with-trees-in-blossom-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,landscape
58,sunflowers-1888,Post_Impressionism,Vincent_van_Gogh,1888,Dutch,Post_Impressionism,
59,dog(1),Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,
60,the-roofs-of-paris-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,
61,self-portrait-with-felt-hat,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,
62,still-life-with-basket-of-apples-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,still_life
63,head-of-a-peasant-woman-bareheaded,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
64,landscape-with-the-chateau-of-auvers-at-sunset-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,landscape
65,still-life-with-five-bottles-1884,Realism,Vincent_van_Gogh,1884,Dutch,Realism,still_life
66,sketch-of-a-knee-1886-1,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
67,plaster-statuette-of-a-horse-1886,Post_Impressionism,Vincent_van_Gogh,1886,Dutch,Post_Impressionism,still_life
68,woman-with-a-fork-in-a-winter-landscape-1883,Realism,Vincent_van_Gogh,1883,Dutch,Realism,sketch_and_study
69,the-bakery-in-de-geest-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,cityscape
70,orphan-man-holding-top-hat-in-his-hand-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,portrait
71,portrait-of-adeline-ravoux-1890-2,Post_Impressionism,Vincent_van_Gogh,,Dutch,Post_Impressionism,portrait
72,village-street-and-steps-in-auvers-with-two-figures-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,cityscape
73,orphan-man-with-cap-seen-from-the-back-1882,Realism,Vincent_van_Gogh,1882,Dutch,Realism,sketch_and_study
74,self-portrait-with-pallette-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,
75,trees-and-shrubs-1889,Post_Impressionism,Vincent_van_Gogh,1889,Dutch,Post_Impressionism,sketch_and_study
76,peasant-woman-planting-beets-2-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
77,study-for-reclining-female-nude-1887,Post_Impressionism,Vincent_van_Gogh,1887,Dutch,Post_Impressionism,sketch_and_study
78,baby-crawling(1),Realism,Vincent_van_Gogh,,Dutch,Realism,genre_painting
79,sower-with-hand-in-sack-1881-1,Realism,Vincent_van_Gogh,,Dutch,Realism,sketch_and_study
80,wheatfields-1890,Post_Impressionism,Vincent_van_Gogh,1890,Dutch,Post_Impressionism,landscape
81,people-walking-in-eindhoven-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
82,landscape-with-cottages-and-a-mill-1885,Realism,Vincent_van_Gogh,1885,Dutch,Realism,sketch_and_study
